Sh																							
Sh																							
Sh																							
Sh																							
Sh	Sh																						
Sh	Sh	Ha	Sh	Ha	Cx	Ha	Sh	Ha	H	Sh	Ha	Ha	Sh	Ha	H	Ha	Sh	Ha	Ha	Sh	Cx	Sh	Sh
Sh																							
Sh																							
D																							
Sh																							
Ha	Ha	Ha																					
Ha																							
Ha	Sh	Ha	Sh	Ha	Sh																		
Sh	Sh	Sh																					
H																							
Cx	D	F																					
Sh																							
Fs	Ha	Sh																					
Cx																							
D																							
H	D	Sh																					
Sh																							
Sh																							
Sh																							
Sh																							
Ha	Sh	Ha	Sh	Sh	Ha																		
Sh																							
Sh																							
Ha	Cx	Sh																					
