H	H																							
Cx	Cx	Cx																						
Sh	H																							
Cx	Cx	D	Sh	Sh	Cx	Ts	F	Sh	D	Sh	D	Cx	Cx	F	H	F	Ts	H	H					
F	Sh																							
Sh	F																							
F	D	Cx	D	D	Sh	D	Ts	F	Cx	Cx	Cx													
Cx	Ts																							
Cx	Cx	Cx	Cx	D	Cx	Cx	Cx	U	D	Cx	Cx	F	F	D	D	Cx	Cx	Cx	Cx	D	Cx	Cx	F	H
Cx	Cx	Cx	Cx	Cx	Cx																			
F	Cx																							
F																								
Cx	Cx																							
F																								
D	F																							
D																								
Cx																								
Cx																								
F	F																							
Ts																								
Sh	Sh	Cx	H	Sh																				
D	D	D	H	Cx	Cx																			
Sh																								
Sh	Sh	Sh																						
Cx	Cx																							
Cx																								
D	Cx																							
Cx	F	Cx	Cx	Cx	Cx	Cx	Cx	D	Cx	Sh	F	Fs	Cx	Cx	Cx	Cx	Cx	F	Cx	Cx				
Sh	Sh	Sh																						
F	Cx	Cx	Cx	F	Cx	Cx	Cx																	
D																								
D	Cx																							
Sh																								
F	F																							
Cx	Cx	Cx	Cx																					
H	F	D	H	Cx	F	Cx	Ts	H																
Sh	H																							
Ts	D	Cx	Ts	Ts	F	Ts																		
H	Cx	H	D	H	Cx	Ha	Cx	Cx	Cx	Cx	Ha	Cx	Sh	F	D	D	D	D	Sh	Cx	F	F		
D	Cx	Cx	Cx																					
F																								
Cx																								
F	Cx	Cx	F																					
H	F	Sh																						
Cx																								
Cx	Cx	U	D	Cx	D	D																		
Sh	Cx	Cx	Cx	Cx	F	Cx	Cx	H	Ha	Cx	H	Ha	Ha	Ha	Ha	Cx	Cx							
Ts																								
D	Cx	D	Cx	F	F	Cx	Cx	Cx																
Cx																								
Cx	Sh	Cx	Sh																					
Sh	Cx	H	Cx																					
D	Cx	Sh	Cx	H	Sh																			
Cx	Fs	Ts	Cx																					
Sh																								
U	Cx	Ts	Sh	D	D	Cx	Cx	D	F	F	Cx	D	F	F	D	D	D	H	Sh	D	D	D	Sh	D
D	F	Cx	Cx	Cx	F																			
D																								
D																								
D	Cx	H	Cx	H	Cx	D	H	Cx	Ha	Sh	Cx	Cx	Cx											
F	Cx																							
F	Cx																							
D	Cx																							
Cx	Cx	Cx	Ts	Cx	Cx																			
Cx	Ts	Cx	Cx	Cx	Cx																			
Cx	Cx	D	Cx	Cx	Cx																			
D	D	Cx	Cx	Cx	Cx	U	F	Cx	U															
F	Ts	Fs	Ts																					
D	Cx	Cx	Ts	Sh	Cx	Cx	Cx																	
D																								
D	U	U	D	H	D	D	U																	
Cx																								
D	Cx	Cx																						
Cx																								
D																								
Cx	Cx	Ts	Cx	Cx	Cx	Cx	Cx	U																
Cx	H	D	Ts	Cx	D	Ts	Sh	D	D	Cx														
Cx																								
Cx																								
Cx	Cx	Cx	Cx	Cx																				
H	Cx	Cx	Cx	Sh	D	F	H	Cx	Cx	D	F													
F																								
D																								
D																								
Cx	H	D	U	Cx	Cx	D	Cx	D	D															
D	Cx																							
F																								
D																								
H	Cx	Cx	Cx	Cx	C	D	Ha	Ha	D	Ha	Ts													
Ts	F																							
H																								
H	Ts	D	Ts	Cx	H	F	F	Cx	D	Cx	Ts	Cx	Cx	F	Cx	Sh								
Cx																								
Cx																								
Cx	Cx	Cx	D	Ts	Cx	Cx	Ts	F	Cx															
F																								
F	D	Sh	D	Ts	F	Ts	F	Ts																
F																								
H																								
Sh	Ts	D	D	Ts	D	D	Ts	D	Cx	Sh	D	Cx	Ts	Ts	Ts	Cx	F	F	D	D	D	Cx	D	F
F																								
Cx	Cx	Cx	Ts	Cx	Cx	Cx	D	Sh	Cx	Cx	Cx	Cx	Cx	Cx	F	D	F							
U	D	Cx	Cx	F	Cx	F	Cx	Cx	F	Cx	Cx	Cx	H	D	D	Cx	Cx	Cx	D	Cx				
D																								
Cx	F	H	Cx	D																				
D	D	D	Ts	F																				
