U	Sh																			
D	U	Cx	Cx	D	Cx	H	U													
U	Cx	Cx	U	U																
Cx	H	Cx	Cx	Sh	D	Cx	Cx													
H	H																			
H	Cx																			
H																				
D	U	H	Cx	Cx	U	D	D	Cx												
D	Cx	D	F	Cx	Cx	Cx	Cx	Cx	Cx	Cx	D	Ha	Ha	H	Cx	U				
U																				
D	Cx	Cx	H	F	D	F	U	D	Cx	Cx										
Sh																				
U	Cx	D	H	Cx	Cx	D	Cx	Cx	Cx	Cx	H	Cx	Cx	Cx	F	D	Cx	Cx	Cx	F
Cx	D	F	Ts	F	Cx	Cx	Ts	D	Cx	Cx	Cx	Ts								
D	U	Cx	Cx																	
Cx	D	Cx	Cx	Cx																
Cx	U	Cx	U																	
U																				
Sh	Cx	U	H	Sh																
Sh	Cx	Ts	H	U																
Cx	Cx	H	U																	
U																				
Cx	Cx	U	Cx	H	Cx	Cx	Ha	H	Cx	Cx	U	D	D	U						
Cx	Cx																			
Cx	Cx	Cx	H	D	D	D														
D	H																			
H																				
Cx	F																			
Cx	U																			
U	Cx	D	H	Cx	D															
D	D																			
D	Cx	Cx	Cx	U																
D	D	Cx	U	Cx	D	D	Cx	Cx	Cx	F	Cx	Sh	D	H	D					
Sh																				
U	H																			
D	H	D	Cx	Cx	Cx	Cx	Cx	Cx												
U	D	Cx	D	U	Cx	Cx	Cx	D												
Fs	Ts	D	F	Ts	F															
F	F	U																		
Cx	D																			
U																				
Cx	Cx	D	H																	
U																				
H	H	D	U	U																
U	D																			
Cx																				
Cx																				
Cx	D	Cx																		
