D	H	Cx	H	H	H						
D	D										
Cx	Cx	Sh									
H											
H	H										
Sh											
Sh											
H	D	Sh									
Cx	Cx										
H											
H	D	Sh	Cx								
H											
H	D	H	H								
H											
H											
D											
D											
Sh	H	D	D	H	H						
D	D										
H	H										
D											
H											
H											
Sh											
D	D										
D	H	D	H	C	Cx	D					
D	Ts	H	D	F							
U											
H	D										
H	Sh	D									
F											
H											
D											
D											
Fs											
F											
D											
H											
H	Cx	D	Cx								
H											
H											
D											
D											
U	U	D	D	D							
D	D	H									
Cx											
Sh											
D	Sh	D	D	D	D	U					
D	U	Cx	H	U							
D											
D											
H	Sh	D	D	D							
F	U										
H	D	D	Fs	H	F	D	H	H	D	Cx	Cx
H											
D	Cx										
Cx											
Cx	H	D									
D	D										
