D	Cx	Cx	Cx	Ts																								
H																												
Cx	Cx	Cx																										
U																												
U	Cx	Cx	U	D																								
D	H	D	H																									
Ts	H	D	D	H																								
D	Cx	D	D	D	D	Sh																						
D	Sh																											
Cx	H	H	Cx																									
H																												
Cx	Ts	Sh	Cx	Cx	Sh																							
D	Ts	Cx	Ts	H	H																							
Cx	Cx	D																										
Cx																												
Ts	H																											
Cx																												
D	U	Ts	Cx	Cx																								
D	D	Cx	H	D	D	U																						
H																												
Ts	D																											
D	D	Ts	D	D																								
D	D																											
Cx	Cx																											
D	D	Cx	Cx	D																								
D																												
F	D	D																										
H																												
D	D	D	Ts	Cx	Cx																							
H																												
D	Cx	Ts	Sh	Cx	Ts	H	D	D	H	Sh	Ha	U	Cx	H	Cx	Cx	Cx											
U	H	D																										
Sh	Ts																											
H	H																											
H	D	D																										
H																												
H	H																											
D	Cx																											
Cx	Cx	Cx	D	Ts	Cx																							
Cx	Cx	Cx	Cx	F	H	U	D																					
D	D	Cx	Cx	Cx	Cx	Cx	D																					
H	D																											
D	D	D	D																									
D	H																											
H	Cx	D	D	D																								
D	Cx	Ts	D	D	D	D	D	D	D																			
D	D																											
U																												
D	D	D	Cx																									
Cx	D	Cx	H	Ts	Ts	D	Ts	Cx	Cx	Cx	Cx																	
D																												
D	Ts	D	Cx	D	D	Cx	D	Cx	Ts	Ts	H	U	Ha	Cx	Cx	D	D	Ts	D	D	D	Ha	Ha	D	U	Ha	D	D
D	Cx	D																										
D	U	D	F	D	D	Cx																						
H																												
D	Cx																											
D	H																											
D	D	D	H	F																								
D	Cx	Cx	F																									
Ts																												
F	D	Ts	Ts	D	U	Ts	D																					
D	Cx	D	Cx	D	Cx	Ts	U	Ts	D	D	D																	
D	Cx	Cx	D	Cx	Cx																							
Cx	H	D	Ts	H	D	Cx	Ts	Ts	Ts	D	C	Cx	Cx	Cx														
Cx	D	Cx																										
Cx	Ts	U	U	Cx	Ts	Ts	Cx																					
Ts	Ts	D	Cx	D	Cx	D	F	H	D	F	Cx	D	H	Cx	Ts	D												
D																												
D	C	D	D	D	D	Cx																						
D																												
D	D	D																										
D	D	D	D																									
Ts	H	Cx	Cx																									
Cx																												
Cx	D	D	H																									
D																												
D	F																											
D																												
Sh																												
D	D	D																										
H	Cx	F																										
Ts	D	Cx																										
D	Cx	D	Ts	Cx	D	D	D	D																				
D	Cx	D	Cx	Cx	Cx	D	H	Cx	D																			
D	D	Cx	Sh	Ts																								
D	Ts																											
Cx	Cx	Ha	F	Ts	D	D	D	Ts	Sh	Ts	Cx	D	D	Ha														
