D	H								
Sh	D	H							
Sh	H	Sh							
Sh	H								
H	Sh								
Sh									
Sh									
D									
D									
H	H								
Sh									
Sh	H								
Sh	H	U							
Sh									
H	D	H	D						
D									
D									
Sh									
Sh									
H	H								
H									
H									
H	H	H							
H									
Sh									
H	U								
H	H								
H									
H									
Sh	Sh								
H	D	H							
D									
H	H								
D	H								
H									
H	H								
H									
Sh	H	H	H	H					
F	D	H	Sh	H	D	H	H	H	H
Ts									
H	H	H							
H	H	Cx	Sh	Sh					
Sh									
H	H								
H									
Sh									
H	H	H							
Cx									
Sh	H								
H	Sh								
H	Sh	U	H						
H									
H									
U									
H									
Cx									
H	Sh								
D	F								
H									
F									
Sh									
H	Cx								
H									
Sh									
Sh	F								
H	Sh								
D	H								
Cx	H	H	H						
