F																					
Ts	Ha	D	Sh	Ha	Ts	Cx															
F	D	Sh	Fs	Cx	Fs	Sh															
C	Sh	Cx	D	Ts																	
F																					
F	F	Cx	Ts	Ts	Fs	Ts															
Fs	Ts																				
F																					
Cx	Cx	Fs	Ts	Ts	Sh	Fs	Fs	Fs	C	D	Ts										
Cx	D																				
Cx	Ts	Ts	Fs																		
Cx	Sh	Fs	Ts	Ts	Sh																
Sh	Fs	Ts	Ts	Ts	Ts	Fs	Ts	Sh	D	Fs	Fs	Fs	Ts	Cx							
Ts	Cx																				
Sh																					
Fs	F	D	H	Cx	Cx																
Cx																					
Fs	Fs	Fs	Fs	Fs	Cx																
Ts	Fs	Fs	Sh	H	Sh	Sh	Fs	Sh	Fs	Ts	C										
Sh	Ts	F	Cx	Fs	Cx																
Cx																					
H																					
Cx	C	Sh	Cx	Sh	Fs	D	Sh	F													
Cx	Cx																				
Sh	Sh	Cx	Cx																		
F	F																				
C																					
F																					
C																					
Fs	Sh																				
F	Fs	H	F																		
Cx																					
Ts	Fs	Fs	Fs	F	F	F	F	Cx													
Sh																					
Sh	Sh	Sh	D	D	Sh	Cx	F	Cx	D	Cx	Cx	Ts	Ts	Cx							
Cx	C	Ts	Cx	Cx	D	Cx	Sh	Cx	Sh	Fs	H	Cx	F	Ts							
Ts	Fs	Ts	Sh	Fs	Ts	Ts	Cx														
F	Fs	Cx																			
Cx	Sh	Cx	Sh	H	F	H	Fs	Fs	Fs	H											
Ts																					
H	Fs																				
Fs	Cx																				
D																					
Sh																					
Sh	C	Sh	C	Sh	Cx	Sh	Ts	Sh													
H	Cx	Fs	Fs	Fs	F	Fs	Sh	H	Sh	H	F	Fs	Fs	Ts	F	Sh	Fs	F	C	Cx	C
Cx	Ts																				
F	F	Ts																			
Cx	Cx																				
Cx																					
Sh	Sh	Fs	F																		
Cx																					
F	Fs																				
Cx	Cx	Cx																			
D	Fs	Fs	Ts	Ts																	
Sh	Sh	Sh	Fs	Cx	Cx	Cx	Cx	Ts	Ts	Cx											
Cx	Ts	Ts	Fs	Fs																	
F	D	F																			
F	Ts																				
