Sh	Sh	Sh	Sh												
H	H	H													
H	H	H	Fs	Cx											
Cx															
D	Cx	Sh													
Cx	Sh	H													
Ha															
H	Cx	D	H	D	H	Ha	H	U	Sh						
C															
Sh	Sh	H	U	H	F	Cx									
Sh															
H	Ha														
Cx	Sh														
U															
Sh	D	Sh	U	H	Cx	D	H	F	Cx	Cx	H				
Sh															
H	Cx	Cx	Cx												
H	Cx	Cx													
H															
Cx	Cx	Cx	D	U	Cx	Cx	Sh								
Cx	H														
D	Cx	Cx	Cx												
Sh	Sh														
U															
U	Cx														
H	Sh	Cx	Cx												
Sh	H	Cx													
H															
H	Cx	F	D	Cx	Cx	Cx	Cx	Cx	D	Cx	Cx	H	F	Cx	Cx
Cx															
Cx	D														
H	Sh														
F	Cx	F	Cx												
D	Cx	F	H	Sh	Cx	Cx	Cx								
Cx	Cx	Cx	Cx	Cx	Cx	Cx									
Cx															
F	F	Cx	U	Cx											
Sh	Sh	Cx	Cx	Cx	Cx	Cx	Cx	Cx	Sh	Sh					
Sh															
Cx	Cx	Cx	Cx												
D	H	Cx	Sh												
H	H	H	Cx	D											
Cx															
Sh	H														
H															
Ts	H	Sh													
Sh															
H	H														
D	H														
H															
U	D	H	H	U	Cx										
Sh	Sh														
Sh	Ts	Cx	D	Cx	Cx	Cx	U								
H	D	D	Sh	H	Sh										
H	U	Cx													
Sh	H	D	Cx	Cx											
H															
Sh															
H															
H	H														
D	H	F													
Sh															
U	D	H													
H	Cx														
Sh															
Sh	H														
Sh															
H	H	Sh													
H															
Cx	D	Cx	Cx	Cx	Cx	Cx	Sh								
D	Sh	Cx	H	H	Cx	Cx	F								
Cx															
Cx															
Sh															
H	H														
H	D	H													
U	D	Cx													
H															
Cx	Sh														
