Cx																				
F																				
Cx	Sh	Sh	F	H																
Cx																				
Cx	D																			
Sh	Sh																			
H	Cx	Ts	Ts	Ts	Cx	Sh	Ts	Ts	Ts											
Sh	Sh	F	F	Sh																
Cx																				
Ts	Ts	Ts																		
Ts	Ts																			
Cx																				
Ts																				
Ts																				
F	H																			
Ts																				
F	F	F																		
F	D	F	Ts	D	Sh	Ts	Ts	D	Cx	Ts	Cx									
Cx																				
F																				
Cx	D	Ts	Ts	Ts	Ts															
D	Ts	Cx	Ts	Ts	Ts															
Ts																				
Ts																				
Sh	Cx	Sh	Fs	Ts	Ts	Fs														
F																				
Sh																				
Sh	Cx	Sh	Cx	Ts	Cx	F	F													
Sh	Ts	Cx	Cx	Ts	Ts	Sh	Sh	Ts	F	Ts	Ts	Ts	Fs	Sh	Ts	Fs	C	C	Sh	D
F																				
Sh	Cx																			
Cx																				
D																				
Ts	Fs	Fs																		
Ts																				
Ts	Ts	Ts	Ts	Ts	Ha	Cx														
Cx	Ts	Ts	Ts	Sh	Cx															
Ts	Cx																			
C	Cx																			
Cx	Ts																			
Cx																				
Fs																				
F	Cx	Sh	Cx	Ts	Fs	Ts														
Cx	Cx	Cx																		
Cx																				
F																				
Cx	Ts	Cx	Cx	F	D	Ts	Ts	Ts	Ts											
Cx																				
D	Fs	Ts	Sh	Ts	Ts	Ha	Ha	Ts	Ts	Cx	Ts	Ts	Ts	Ts	Ts					
Cx	Cx	Ts	Ts	Cx	Cx	Ts	Fs													
Cx	Ts	F	D	Ts	Ts															
Cx	Ts	Ts	F	Ts	Sh	Ts														
Cx	Ts	Cx	Ts	Ts																
Cx	Ts	Ts	Ts	Ts	Sh	Ts														
Sh	Sh																			
Cx	Ts	Sh	Ts	Ts	Ts	F	Sh													
Sh	H	Ts	F	Ts	Ts	Ts														
Sh																				
Ts	Ts																			
Ts																				
Ts	Ts	Ts	Ts	Ts																
Cx	Cx	Ts	Ts	Ts	Ts	Ts														
Ts	Ts																			
Ts	Ts	F	Ts																	
F	F																			
Sh																				
Sh	Ts	Cx	Ts																	
Cx	Cx	Ts	Fs																	
F	Ts	Ts	Cx	Ts																
Cx	Ts	Ts	Ts																	
D	Cx	Ts	Cx																	
Cx	Cx																			
Cx	Fs	Cx	Cx																	
Cx	Ts	Cx	Cx	Fs	Fs															
F	Fs	Ts	Fs	Ts	Ts															
F	Cx	Fs	Ts																	
Cx	Ts	Ts	Sh	Cx	D	Cx	Ts	Sh	Cx	Cx	Cx	Ts	Ts	Ts	Ts	Cx	Ts	Ts	Ts	
Cx	Cx	Cx	Ts	Ts	Cx	Cx	F	Ts	Ts											
Cx	Ts																			
Cx																				
Cx	Cx	Ts	Ts	Ts	Ts	Ts	Ts													
Cx	Cx																			
Cx	Cx	Cx	Cx	Ts	Ts	Ts	Ts	Ts	Cx	Cx	Sh	Cx	Ts	Ts	Ts	Ts	Ts	Cx	Cx	
Ts	Cx																			
Cx																				
F	H	Ts	Ts																	
Ts																				
