Cx	H	H	H																													
D	Cx																															
D	Cx	H	H																													
D	Sh	Cx	D	H	Cx																											
H	H	H																														
Sh																																
H	H																															
D	U	H	Cx	Cx	Cx	Cx	H																									
H	H																															
H	D	Sh	Cx	Ts	Ts	Cx	Cx																									
H	Cx	Cx	Cx	Sh	Cx																											
Cx																																
Cx	Cx	H																														
H																																
Ts	Cx	Ts	Cx	Sh	Cx	Cx	Fs	Sh																								
U	D	D	H	Fs	Cx	Sh	Sh																									
Cx	H	Cx	Cx	Cx	Cx	Cx																										
F																																
F	H																															
Cx	Fs	Cx																														
Sh	Sh	H	Ha	Ha	Ha	Cx	Ha	Ha	Ha	F	Ts	H	Cx	Cx	Ha	Ha	H	Cx	Ha	Sh	Cx	C	Ts	F								
U																																
Sh	Cx	Cx																														
Ts	Ts	Sh	Sh	C	Sh	Cx																										
Cx	Cx	C	C	H	C																											
Cx	D	Sh	Cx	C	Cx	Cx																										
C																																
D	Cx	Cx	Cx	F																												
F	D	Sh	C	H	Ha	Ha	Cx	Ha	Ha	Ha	Ha	F	Cx	Ha	C	H																
H																																
C																																
Cx																																
Cx	Sh																															
Cx	D																															
Cx	Ts	Ts	Ts	Fs	Cx																											
H	F																															
Cx	H	Fs	F	Cx	Cx	Cx																										
Cx	D	Cx	Ts	Sh	Cx	Ts	H	Cx																								
H																																
D	D	Ts	D	H	D	D	H	Cx	D	F	D																					
Cx	H																															
F	Cx	Sh	Cx	Cx																												
Cx	H	H																														
H	Sh																															
D	F	Cx	U																													
H																																
H																																
D	Sh	Sh																														
Cx																																
F																																
H	Cx																															
D																																
D																																
H	Cx	H	Cx																													
F	Sh	Sh	Fs	Sh	Cx	Ts	Fs	C	D	Cx	Cx	D	Sh	Cx	H	Cx	C	D	Cx	Ha	Cx	C	Ts	Ts	Ts	Cx	D	D	D	D	D	D
F	Cx																															
Cx	Sh																															
H	Sh	U	Cx	Ha	Cx	F																										
Cx																																
Sh	Cx	Cx	C	H	C																											
D	H	D																														
F	H	Cx	Cx	D	Cx																											
Fs	Cx	Fs																														
H																																
D	U																															
H	H																															
Cx	H	Sh	D	H	Sh	Cx	F																									
D	D	Sh	Cx	Ts																												
Ts	H	Fs	D	Ts	Cx																											
Cx	Cx	Cx	Cx	H	D	Ts																										
U																																
Cx																																
D																																
Cx																																
H																																
Cx	H	Cx	F	Cx	Cx																											
D	Sh																															
Ts	Cx																															
Sh	F																															
Cx	Ts	Sh	Fs																													
Sh																																
H																																
Cx																																
Cx																																
D	D	Cx	D	Sh	Fs	Cx	Fs	Sh	Sh	Fs	Fs																					
Cx	Ts	Cx																														
Cx	D																															
Sh																																
Fs	F	H	Sh	Ts	Ts	F	Cx	Ts	Cx	Cx	Cx																					
H																																
Cx																																
H	Sh																															
H																																
H																																
Ts	Cx																															
D	Fs	Cx	D	Sh																												
D																																
U	Ts	Fs	Sh	Sh	Ts	Cx	Cx																									
H	Cx																															
Cx																																
Cx																																
H																																
H																																
H	Sh																															
D	Sh	Cx	F																													
Ts	Fs	Ts	Cx	D	H	D	D	D																								
